,Name,Country,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Emerald,AU,148.1667,-23.5333,289.49,91.0,3.0,2.68,1630181470.0
1,Busselton,AU,115.3333,-33.65,285.98,83.0,82.0,5.77,1630181471.0
2,Tiarei,PF,-149.3333,-17.5333,302.16,79.0,13.0,5.08,1630181471.0
4,Thompson,CA,-97.8558,55.7435,294.86,42.0,100.0,2.62,1630181471.0
5,Bokoro,TD,17.0568,12.3807,301.45,66.0,47.0,3.5,1630181472.0
6,Saint-Philippe,RE,55.7679,-21.3585,294.92,94.0,100.0,7.18,1630181472.0
7,Balsas,BR,-46.0356,-7.5325,310.9,20.0,14.0,4.16,1630181472.0
8,Lebu,CL,-73.65,-37.6167,284.72,96.0,100.0,5.8,1630181472.0
9,Dunedin,NZ,170.5036,-45.8742,280.82,88.0,93.0,3.22,1630181473.0
10,Yellowknife,CA,-114.3525,62.456,292.44,72.0,75.0,4.63,1630181285.0
11,Jamestown,US,-79.2353,42.097,304.43,70.0,1.0,0.45,1630181473.0
12,Masallātah,LY,14.0,32.6167,298.37,64.0,0.0,2.61,1630181473.0
13,Bad Hersfeld,DE,9.7,50.8667,287.93,96.0,100.0,1.2,1630181474.0
14,Rikitea,PF,-134.9692,-23.1203,296.32,71.0,0.0,9.46,1630181280.0
15,George Town,MY,100.3354,5.4112,300.31,85.0,20.0,0.45,1630181215.0
16,Tyup,KG,78.3648,42.7276,284.41,87.0,91.0,1.6,1630181474.0
17,Fairbanks,US,-147.7164,64.8378,281.13,82.0,90.0,1.54,1630181474.0
18,Airai,TL,125.4092,-8.9266,286.6,70.0,20.0,1.45,1630181475.0
19,Methóni,GR,21.7049,36.8197,299.07,72.0,0.0,5.96,1630181475.0
20,Hilo,US,-155.09,19.7297,301.0,64.0,20.0,2.57,1630181350.0
21,Lagoa,PT,-27.9833,39.05,294.94,87.0,1.0,7.98,1630181475.0
22,San Cristobal,VE,-72.225,7.7669,300.25,48.0,74.0,4.18,1630181475.0
24,Guerrero Negro,MX,-114.0611,27.9769,303.55,51.0,10.0,6.15,1630181476.0
25,Yining,CN,114.5636,29.0361,296.44,96.0,99.0,0.92,1630181476.0
26,Muros,ES,-9.0603,42.7762,294.25,89.0,84.0,1.5,1630181476.0
27,Fortuna,US,-124.1573,40.5982,292.66,70.0,1.0,4.12,1630181359.0
28,Jiménez,MX,-105.4,28.3333,305.56,26.0,21.0,4.71,1630181477.0
30,Saldanha,ZA,17.9442,-33.0117,282.66,64.0,23.0,2.45,1630181477.0
31,São Filipe,CV,-24.4956,14.8961,297.98,80.0,100.0,0.6,1630181477.0
32,Sitka,US,-135.33,57.0531,285.92,78.0,80.0,3.94,1630181478.0
33,Khatanga,RU,102.5,71.9667,274.43,98.0,100.0,5.83,1630181478.0
34,Rincon,US,-81.2354,32.296,306.4,69.0,40.0,0.45,1630181478.0
35,Esperance,AU,121.9,-33.8667,284.89,79.0,100.0,6.08,1630181479.0
36,Ushuaia,AR,-68.3,-54.8,277.86,85.0,99.0,2.06,1630181479.0
37,Hermanus,ZA,19.2345,-34.4187,281.98,62.0,88.0,2.08,1630181479.0
38,Mariinsk,RU,87.7472,56.2139,285.54,85.0,44.0,1.81,1630181479.0
39,Cape Town,ZA,18.4232,-33.9258,282.1,53.0,83.0,1.42,1630181462.0
40,Ketchikan,US,-131.6461,55.3422,290.41,72.0,40.0,3.09,1630181480.0
41,East London,ZA,27.9116,-33.0153,284.77,66.0,36.0,7.03,1630181480.0
42,Praia,CV,-23.5087,14.9215,299.45,78.0,40.0,4.63,1630181460.0
43,Tiksi,RU,128.8694,71.6872,275.09,99.0,100.0,7.79,1630181481.0
44,San Patricio,US,-97.5169,28.017,307.62,50.0,98.0,5.47,1630181481.0
45,Punta Arenas,CL,-70.9167,-53.15,280.21,76.0,75.0,11.83,1630181481.0
46,Sur,OM,59.5289,22.5667,300.99,70.0,4.0,5.8,1630181481.0
47,Lompoc,US,-120.4579,34.6391,310.25,75.0,1.0,5.66,1630181223.0
49,Jiuquan,CN,98.5174,39.7432,289.35,35.0,94.0,1.36,1630181482.0
50,Butaritari,KI,172.7902,3.0707,301.29,73.0,41.0,4.43,1630181482.0
52,Swellendam,ZA,20.4417,-34.0226,279.72,77.0,52.0,1.66,1630181482.0
53,Qaanaaq,GL,-69.3632,77.484,275.6,99.0,100.0,1.88,1630181483.0
54,Port Elizabeth,ZA,25.5701,-33.918,283.2,73.0,27.0,2.58,1630181483.0
55,Asău,RO,26.4,46.4333,289.48,94.0,100.0,0.68,1630181483.0
56,Kabompo,ZM,24.2008,-13.5927,295.42,20.0,63.0,2.76,1630181483.0
57,Tasiilaq,GL,-37.6368,65.6145,281.24,99.0,100.0,2.03,1630181484.0
58,Khandyga,RU,135.6,62.6667,275.89,93.0,36.0,0.29,1630181484.0
59,São João da Barra,BR,-41.0511,-21.6403,298.2,78.0,5.0,4.95,1630181484.0
60,Vidim,RU,103.1106,56.4088,284.31,71.0,9.0,1.41,1630181485.0
61,Forio,IT,13.8646,40.7342,297.31,77.0,0.0,2.3,1630181485.0
62,Mar del Plata,AR,-57.5575,-38.0023,288.65,62.0,7.0,5.22,1630181485.0
63,Vaini,TO,-175.2,-21.2,294.24,78.0,75.0,3.09,1630181486.0
64,Port Hedland,AU,118.5667,-20.3167,288.18,88.0,75.0,0.0,1630181486.0
65,San Quintín,MX,-115.95,30.4833,298.42,68.0,11.0,5.44,1630181486.0
66,Cidreira,BR,-50.2056,-30.1811,289.44,76.0,0.0,7.95,1630181487.0
67,Pangkalanbuun,ID,111.6167,-2.6833,296.56,98.0,85.0,1.0,1630181246.0
68,Fort Nelson,CA,-122.7002,58.8053,292.65,53.0,100.0,1.41,1630181487.0
69,Djibouti,DJ,42.5,11.5,307.83,39.0,90.0,1.13,1630181256.0
70,Águas Belas,BR,-37.1231,-9.1114,299.9,46.0,75.0,6.14,1630181487.0
71,Katsuura,JP,140.3,35.1333,300.21,92.0,7.0,4.24,1630181488.0
72,Bam,IR,58.357,29.106,300.03,17.0,0.0,5.41,1630181488.0
73,Sawākin,SD,37.3321,19.1059,307.23,48.0,16.0,3.22,1630181488.0
74,Adrar,MR,-10.0711,20.5022,311.06,18.0,11.0,2.69,1630181488.0
75,Hilton Head,US,-80.7526,32.2163,306.18,72.0,20.0,2.06,1630181489.0
76,Nikolskoye,RU,30.7861,59.7035,290.09,88.0,28.0,2.28,1630181489.0
80,Chapais,CA,-74.8492,49.7834,290.98,44.0,100.0,2.73,1630181490.0
81,Salinópolis,BR,-47.3561,-0.6136,300.94,79.0,9.0,6.84,1630181490.0
82,Yar-Sale,RU,70.8333,66.8333,279.94,89.0,100.0,7.17,1630181490.0
83,Mahébourg,MU,57.7,-20.4081,294.96,91.0,100.0,8.34,1630181490.0
84,Shrewsbury,GB,-2.7521,52.7101,289.74,82.0,14.0,2.6,1630181491.0
85,Ilulissat,GL,-51.1,69.2167,279.16,65.0,75.0,5.14,1630181491.0
86,Geraldton,AU,114.6,-28.7667,280.38,93.0,95.0,2.57,1630181491.0
87,Donji Vakuf,BA,17.4,44.1436,285.11,99.0,100.0,1.62,1630181491.0
88,Bluff,NZ,168.3333,-46.6,280.26,73.0,100.0,4.09,1630181492.0
89,Bariloche,AR,-71.3082,-41.1456,277.91,98.0,100.0,2.65,1630181348.0
90,Sambava,MG,50.1667,-14.2667,292.34,89.0,10.0,2.67,1630181492.0
91,Tuatapere,NZ,167.6833,-46.1333,280.27,88.0,100.0,2.1,1630181492.0
92,Uvira,CD,29.1458,-3.4067,299.0,60.0,88.0,0.88,1630181493.0
93,Gwadar,PK,62.3254,25.1216,299.06,82.0,81.0,3.39,1630181493.0
94,Cherskiy,RU,161.3,68.75,275.97,67.0,100.0,3.45,1630181493.0
95,Te Anau,NZ,167.7167,-45.4167,279.18,98.0,100.0,0.77,1630181494.0
96,Kismayo,SO,42.5454,-0.3582,297.58,79.0,27.0,7.07,1630181494.0
97,Skellefteå,SE,20.9528,64.7507,282.04,67.0,3.0,2.06,1630181494.0
98,Hobart,AU,147.3294,-42.8794,279.88,93.0,40.0,1.79,1630181494.0
99,Narāyangarh,IN,77.1333,30.4833,297.19,92.0,0.0,2.62,1630181495.0
100,Itarema,BR,-39.9167,-2.9248,300.82,62.0,95.0,8.41,1630181495.0
101,Acapulco de Juárez,MX,-99.8901,16.8634,297.05,100.0,90.0,4.63,1630181365.0
103,Ponta do Sol,PT,-17.1,32.6667,297.5,76.0,4.0,2.29,1630181495.0
104,Pachino,IT,15.0907,36.7186,298.17,63.0,0.0,4.76,1630181496.0
105,Albany,US,-73.9662,42.6001,298.04,58.0,72.0,4.72,1630181411.0
106,Severo-Kuril'sk,RU,156.125,50.6789,285.69,96.0,100.0,1.84,1630181496.0
107,Luleå,SE,22.1547,65.5842,284.19,93.0,0.0,1.54,1630181496.0
109,Port Alfred,ZA,26.891,-33.5906,283.64,74.0,58.0,4.72,1630181497.0
111,Guarapari,BR,-40.4975,-20.6667,297.09,73.0,51.0,2.57,1630181497.0
112,Talnakh,RU,88.3972,69.4865,276.8,90.0,100.0,2.58,1630181497.0
113,Chokurdakh,RU,147.9167,70.6333,274.76,97.0,100.0,2.84,1630181498.0
114,Kapaa,US,-159.319,22.0752,302.33,67.0,20.0,1.79,1630181498.0
116,Srednekolymsk,RU,153.6833,67.45,276.98,60.0,97.0,3.96,1630181498.0
117,Ivanava,BY,25.5365,52.1451,284.59,96.0,48.0,2.75,1630181498.0
