,Name,Country,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Emerald,AU,148.1667,-23.5333,67.93,72.0,4.0,7.2,1630188472.0
1,Busselton,AU,115.3333,-33.65,54.09,84.0,48.0,13.0,1630188472.0
2,Tiarei,PF,-149.3333,-17.5333,80.62,81.0,24.0,11.59,1630188473.0
4,Thompson,CA,-97.8558,55.7435,69.73,46.0,100.0,5.88,1630188259.0
5,Bokoro,TD,17.0568,12.3807,81.81,68.0,41.0,7.52,1630188473.0
6,Saint-Philippe,RE,55.7679,-21.3585,69.39,93.0,100.0,16.44,1630188473.0
7,Balsas,BR,-46.0356,-7.5325,90.28,28.0,31.0,5.3,1630188474.0
8,Lebu,CL,-73.65,-37.6167,53.08,96.0,100.0,12.01,1630188474.0
9,Dunedin,NZ,170.5036,-45.8742,48.79,83.0,96.0,3.0,1630188474.0
10,Yellowknife,CA,-114.3525,62.456,66.94,53.0,19.0,9.82,1630188474.0
11,Jamestown,US,-79.2353,42.097,85.84,69.0,1.0,5.99,1630188419.0
12,Masallātah,LY,14.0,32.6167,76.84,62.0,0.0,6.87,1630188475.0
13,Bad Hersfeld,DE,9.7,50.8667,57.94,97.0,100.0,2.1,1630188475.0
14,Rikitea,PF,-134.9692,-23.1203,73.76,71.0,0.0,20.6,1630188475.0
15,George Town,MY,100.3354,5.4112,80.53,87.0,20.0,3.44,1630188476.0
16,Tyup,KG,78.3648,42.7276,52.97,81.0,92.0,1.03,1630188476.0
17,Fairbanks,US,-147.7164,64.8378,48.16,76.0,90.0,0.0,1630188302.0
18,Airai,TL,125.4092,-8.9266,56.05,76.0,13.0,3.4,1630188476.0
19,Methóni,GR,21.7049,36.8197,73.26,73.0,0.0,13.09,1630188477.0
20,Hilo,US,-155.09,19.7297,84.27,65.0,40.0,10.36,1630188324.0
21,Lagoa,PT,-27.9833,39.05,71.13,86.0,4.0,15.55,1630188423.0
22,San Cristobal,VE,-72.225,7.7669,75.38,63.0,53.0,5.19,1630188201.0
24,Guerrero Negro,MX,-114.0611,27.9769,83.57,55.0,28.0,14.52,1630188212.0
25,Yining,CN,114.5636,29.0361,73.17,96.0,100.0,1.3,1630188477.0
26,Muros,ES,-9.0603,42.7762,68.5,92.0,63.0,2.64,1630188477.0
27,Fortuna,US,-124.1573,40.5982,66.33,70.0,1.0,13.8,1630188478.0
28,Jiménez,MX,-105.4,28.3333,92.14,23.0,34.0,8.97,1630188478.0
30,Saldanha,ZA,17.9442,-33.0117,47.57,68.0,14.0,4.32,1630188478.0
31,São Filipe,CV,-24.4956,14.8961,76.73,80.0,100.0,1.99,1630188479.0
32,Sitka,US,-135.33,57.0531,55.29,71.0,90.0,6.91,1630188479.0
33,Khatanga,RU,102.5,71.9667,34.5,98.0,100.0,12.21,1630188479.0
34,Rincon,US,-81.2354,32.296,88.86,79.0,75.0,12.66,1630188218.0
